"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"5/1/2024","5/1/2024","5/2/2024","COST","COST 5/3/2024 Call $735.00","BTO","5","$1.60","($800.15)"
"5/1/2024","5/1/2024","5/2/2024","COST","COST 5/3/2024 Call $735.00","BTO","1","$1.60","($160.03)"
"5/1/2024","5/1/2024","5/2/2024","COST","COST 5/3/2024 Call $735.00","BTO","1","$1.60","($160.03)"
"5/1/2024","5/1/2024","5/2/2024","COST","COST 5/3/2024 Call $735.00","BTO","6","$1.60","($960.18)"
"5/1/2024","5/1/2024","5/2/2024","","ACH Deposit","ACH","","","$4,000.00"
"5/1/2024","5/1/2024","5/2/2024","COST","COST 5/3/2024 Call $735.00","STC","35","$0.80","$2,798.82"
"4/30/2024","4/30/2024","5/1/2024","COST","COST 5/3/2024 Call $735.00","BTO","35","$1.35","($4,726.05)"
"4/30/2024","4/30/2024","5/1/2024","UPS","UPS 5/3/2024 Call $150.00","STC","70","$0.58","$4,057.66"
"4/30/2024","4/30/2024","5/1/2024","UPS","UPS 5/3/2024 Call $150.00","BTO","27","$0.67","($1,809.81)"
"4/30/2024","4/30/2024","5/1/2024","UPS","UPS 5/3/2024 Call $150.00","BTO","42","$0.67","($2,815.26)"
"4/30/2024","4/30/2024","5/1/2024","UPS","UPS 5/3/2024 Call $150.00","BTO","1","$0.67","($67.03)"
"4/30/2024","4/30/2024","5/1/2024","PANW","PANW 5/3/2024 Call $300.00","STC","5","$3.35","$1,674.82"
"4/30/2024","4/30/2024","5/1/2024","PANW","PANW 5/3/2024 Call $300.00","STC","5","$3.35","$1,674.82"
"4/30/2024","4/30/2024","5/1/2024","PANW","PANW 5/3/2024 Call $300.00","STC","1","$3.35","$334.95"
"4/30/2024","4/30/2024","5/1/2024","PANW","PANW 5/3/2024 Call $300.00","BTO","11","$3.65","($4,015.33)"
"4/30/2024","4/30/2024","5/1/2024","","ACH Deposit","ACH","","","$3,000.00"
"4/30/2024","4/30/2024","5/1/2024","COST","COST 5/3/2024 Call $740.00","STC","2","$0.68","$135.92"
"4/30/2024","4/30/2024","5/1/2024","COST","COST 5/3/2024 Call $740.00","STC","5","$0.68","$339.83"
"4/30/2024","4/30/2024","5/1/2024","COST","COST 5/3/2024 Call $740.00","STC","12","$0.68","$815.60"
"4/30/2024","4/30/2024","5/1/2024","COST","COST 5/3/2024 Call $740.00","STC","13","$0.68","$883.56"
"4/30/2024","4/30/2024","5/1/2024","COST","COST 5/3/2024 Call $740.00","STC","5","$0.72","$359.83"
"4/30/2024","4/30/2024","5/1/2024","COST","COST 5/3/2024 Call $740.00","STC","3","$0.72","$215.89"
"4/30/2024","4/30/2024","5/1/2024","COST","COST 5/3/2024 Call $740.00","BTO","10","$1.15","($1,150.30)"
"4/30/2024","4/30/2024","5/1/2024","COST","COST 5/3/2024 Call $740.00","BTO","30","$1.50","($4,500.90)"
"4/29/2024","4/29/2024","4/30/2024","","ACH Deposit","ACH","","","$1,000.00"
"4/29/2024","4/29/2024","4/30/2024","NOC","NOC 5/3/2024 Call $490.00","STC","19","$1.70","$3,229.35"
"4/29/2024","4/29/2024","4/30/2024","NOC","NOC 5/3/2024 Call $490.00","STC","2","$1.70","$339.92"
"4/29/2024","4/29/2024","4/30/2024","NOC","NOC 5/3/2024 Call $490.00","STC","1","$1.70","$169.95"
"4/29/2024","4/29/2024","4/30/2024","NOC","NOC 5/3/2024 Call $490.00","STC","1","$1.70","$169.95"
"4/29/2024","4/29/2024","4/30/2024","NOC","NOC 5/3/2024 Call $490.00","STC","1","$1.70","$169.95"
"4/29/2024","4/29/2024","4/30/2024","NOC","NOC 5/3/2024 Call $490.00","STC","1","$1.70","$169.95"
"4/29/2024","4/29/2024","4/30/2024","NOC","NOC 5/3/2024 Call $490.00","BTO","25","$1.90","($4,750.75)"
"4/29/2024","4/29/2024","4/30/2024","NOC","NOC 5/3/2024 Call $490.00","STC","24","$1.55","$3,719.18"
"4/29/2024","4/29/2024","4/30/2024","NOC","NOC 5/3/2024 Call $490.00","STC","1","$1.55","$154.95"
"4/29/2024","4/29/2024","4/30/2024","NOC","NOC 5/3/2024 Call $490.00","BTO","23","$1.85","($4,255.69)"
"4/29/2024","4/29/2024","4/30/2024","NOC","NOC 5/3/2024 Call $490.00","BTO","1","$1.85","($185.03)"
"4/29/2024","4/29/2024","4/30/2024","NOC","NOC 5/3/2024 Call $490.00","BTO","1","$1.80","($180.03)"
"4/29/2024","4/29/2024","4/30/2024","ADBE","ADBE 5/3/2024 Call $490.00","STC","20","$1.65","$3,299.31"
"4/29/2024","4/29/2024","4/30/2024","ADBE","ADBE 5/3/2024 Call $490.00","BTO","6","$2.32","($1,392.18)"
"4/29/2024","4/29/2024","4/30/2024","ADBE","ADBE 5/3/2024 Call $490.00","BTO","2","$2.32","($464.06)"
"4/29/2024","4/29/2024","4/30/2024","ADBE","ADBE 5/3/2024 Call $490.00","BTO","6","$2.30","($1,380.18)"
"4/29/2024","4/29/2024","4/30/2024","ADBE","ADBE 5/3/2024 Call $490.00","BTO","6","$2.30","($1,380.18)"
"4/29/2024","4/29/2024","4/30/2024","NOC","NOC 5/3/2024 Call $490.00","STC","23","$1.75","$4,024.21"
"4/29/2024","4/29/2024","4/30/2024","NOC","NOC 5/3/2024 Call $490.00","STC","1","$1.75","$174.95"
"4/29/2024","4/29/2024","4/30/2024","NOC","NOC 5/3/2024 Call $490.00","STC","1","$1.75","$174.95"
"4/29/2024","4/29/2024","4/30/2024","NOC","NOC 5/3/2024 Call $490.00","BTO","25","$2.00","($5,000.75)"
"4/29/2024","4/29/2024","4/30/2024","NOC","NOC 5/3/2024 Call $490.00","STC","21","$1.65","$3,464.28"
"4/29/2024","4/29/2024","4/30/2024","NOC","NOC 5/3/2024 Call $490.00","STC","1","$1.70","$169.95"
"4/29/2024","4/29/2024","4/30/2024","NOC","NOC 5/3/2024 Call $490.00","STC","2","$1.70","$339.92"
"4/29/2024","4/29/2024","4/30/2024","NOC","NOC 5/3/2024 Call $490.00","BTO","4","$1.75","($700.12)"
"4/29/2024","4/29/2024","4/30/2024","NOC","NOC 5/3/2024 Call $490.00","BTO","20","$2.10","($4,200.60)"
"4/29/2024","4/29/2024","4/30/2024","","ACH Withdrawal","ACH","","","($3,000.00)"
"4/29/2024","4/29/2024","4/30/2024","UPS","UPS 5/3/2024 Call $150.00","STC","28","$2.10","$5,879.03"
"4/29/2024","4/29/2024","4/30/2024","UPS","UPS 5/3/2024 Call $150.00","STC","3","$2.10","$629.89"
"4/29/2024","4/29/2024","4/30/2024","UPS","UPS 5/3/2024 Call $150.00","STC","9","$2.10","$1,889.68"
"4/29/2024","4/29/2024","4/30/2024","UPS","UPS 5/3/2024 Call $150.00","STC","5","$2.10","$1,049.83"
"4/29/2024","4/29/2024","4/30/2024","UPS","UPS 5/3/2024 Call $150.00","STC","5","$2.10","$1,049.83"
"4/26/2024","4/26/2024","4/29/2024","ADP","Option Expiration for ADP 4/26/2024 Call $250.00","OEXP","10S","",""
"4/26/2024","4/26/2024","4/29/2024","","ACH Deposit","ACH","","","$200.00"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 5/3/2024 Call $150.00","BTO","1","$1.10","($110.03)"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 5/3/2024 Call $150.00","BTO","48","$1.10","($5,281.44)"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 5/3/2024 Call $150.00","BTO","1","$1.10","($110.03)"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $148.00","STC","1","$0.38","$37.95"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $148.00","STC","64","$0.38","$2,429.88"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $148.00","BTO","65","$0.22","($1,431.95)"
"4/26/2024","4/26/2024","4/29/2024","","ACH Deposit","ACH","","","$500.00"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $148.00","STC","19","$0.15","$284.37"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $148.00","STC","46","$0.15","$688.48"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $148.00","BTO","63","$0.24","($1,513.89)"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $148.00","BTO","1","$0.24","($24.03)"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $148.00","BTO","1","$0.24","($24.03)"
"4/26/2024","4/26/2024","4/29/2024","","ACH Deposit","ACH","","","$1,200.00"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","STC","2","$0.01","$1.92"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","STC","10","$0.01","$9.66"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","STC","2","$0.01","$1.92"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","STC","1","$0.01","$0.95"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","STC","9","$0.01","$8.69"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","STC","1","$0.01","$0.95"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","STC","1","$0.01","$0.95"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","STC","7","$0.01","$6.76"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","STC","6","$0.01","$5.79"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","STC","1","$0.01","$0.95"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","STC","1","$0.01","$0.95"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","STC","1","$0.01","$0.95"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","STC","10","$0.01","$9.66"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","STC","5","$0.01","$4.83"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","STC","15","$0.01","$14.50"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","STC","17","$0.01","$16.43"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","STC","3","$0.01","$2.89"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","STC","3","$0.01","$2.89"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","STC","39","$0.01","$37.71"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","STC","1","$0.01","$0.95"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","STC","31","$0.01","$29.97"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","STC","5","$0.01","$4.83"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","STC","3","$0.01","$2.89"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","STC","55","$0.01","$53.19"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","STC","11","$0.01","$10.63"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","STC","9","$0.01","$8.69"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","STC","40","$0.01","$38.68"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","STC","5","$0.01","$4.83"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","STC","6","$0.01","$5.79"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","BTO","77","$0.09","($695.31)"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","BTO","20","$0.09","($180.60)"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","BTO","47","$0.09","($424.41)"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","BTO","1","$0.09","($9.03)"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","BTO","14","$0.09","($126.42)"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","BTO","1","$0.09","($9.03)"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","BTO","1","$0.09","($9.03)"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","BTO","1","$0.09","($9.03)"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","BTO","5","$0.09","($45.15)"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","BTO","133","$0.09","($1,200.99)"
"4/26/2024","4/26/2024","4/29/2024","","ACH Deposit","ACH","","","$2,000.00"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","STC","2","$0.04","$7.92"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","STC","48","$0.04","$190.42"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","STC","6","$0.04","$23.79"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","STC","143","$0.04","$567.30"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","STC","1","$0.04","$3.95"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","BTO","200","$0.12","($2,406.00)"
"4/26/2024","4/26/2024","4/29/2024","","ACH Deposit","ACH","","","$3,000.00"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","STC","21","$0.08","$167.30"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","STC","5","$0.08","$39.83"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","STC","86","$0.08","$685.17"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","STC","2","$0.08","$15.92"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","STC","1","$0.08","$7.95"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","STC","7","$0.08","$55.76"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","STC","6","$0.08","$47.79"
"4/26/2024","4/26/2024","4/29/2024","UPS","UPS 4/26/2024 Call $149.00","STC","72","$0.08","$573.63"
"4/25/2024","4/25/2024","4/26/2024","UPS","UPS 4/26/2024 Call $149.00","BTO","200","$0.23","($4,606.00)"
"4/25/2024","4/25/2024","4/26/2024","ADI","ADI 4/26/2024 Call $200.00","STC","40","$0.88","$3,518.66"
"4/25/2024","4/25/2024","4/26/2024","ADI","ADI 4/26/2024 Call $200.00","BTO","40","$1.08","($4,321.20)"
"4/25/2024","4/25/2024","4/26/2024","UPS","UPS 4/26/2024 Call $149.00","STC","5","$0.18","$89.83"
"4/25/2024","4/25/2024","4/26/2024","UPS","UPS 4/26/2024 Call $149.00","STC","5","$0.18","$89.83"
"4/25/2024","4/25/2024","4/26/2024","UPS","UPS 4/26/2024 Call $149.00","STC","5","$0.18","$89.83"
"4/25/2024","4/25/2024","4/26/2024","UPS","UPS 4/26/2024 Call $149.00","STC","10","$0.18","$179.66"
"4/25/2024","4/25/2024","4/26/2024","UPS","UPS 4/26/2024 Call $149.00","STC","123","$0.18","$2,209.95"
"4/25/2024","4/25/2024","4/26/2024","UPS","UPS 4/26/2024 Call $149.00","STC","2","$0.18","$35.92"
"4/25/2024","4/25/2024","4/26/2024","UPS","UPS 4/26/2024 Call $149.00","STC","1","$0.18","$17.95"
"4/25/2024","4/25/2024","4/26/2024","UPS","UPS 4/26/2024 Call $149.00","STC","5","$0.18","$89.83"
"4/25/2024","4/25/2024","4/26/2024","UPS","UPS 4/26/2024 Call $149.00","STC","4","$0.18","$71.86"
"4/25/2024","4/25/2024","4/26/2024","UPS","UPS 4/26/2024 Call $149.00","STC","5","$0.18","$89.83"
"4/25/2024","4/25/2024","4/26/2024","UPS","UPS 4/26/2024 Call $149.00","STC","31","$0.18","$556.97"
"4/25/2024","4/25/2024","4/26/2024","UPS","UPS 4/26/2024 Call $149.00","STC","4","$0.18","$71.86"
"4/25/2024","4/25/2024","4/26/2024","UPS","UPS 4/26/2024 Call $149.00","BTO","50","$0.17","($851.50)"
"4/25/2024","4/25/2024","4/26/2024","UPS","UPS 4/26/2024 Call $149.00","BTO","15","$0.15","($225.45)"
"4/25/2024","4/25/2024","4/26/2024","UPS","UPS 4/26/2024 Call $149.00","BTO","15","$0.15","($225.45)"
"4/25/2024","4/25/2024","4/26/2024","UPS","UPS 4/26/2024 Call $149.00","BTO","120","$0.15","($1,803.60)"
"4/25/2024","4/25/2024","4/26/2024","ADP","ADP 4/26/2024 Call $250.00","BTO","10","$0.15","($150.30)"
"4/25/2024","4/25/2024","4/26/2024","ADI","ADI 4/26/2024 Call $200.00","STC","58","$0.54","$3,130.07"
"4/25/2024","4/25/2024","4/26/2024","ADI","ADI 4/26/2024 Call $200.00","STC","1","$0.55","$54.95"
"4/25/2024","4/25/2024","4/26/2024","ADI","ADI 4/26/2024 Call $200.00","STC","1","$0.60","$59.95"
"4/25/2024","4/25/2024","4/26/2024","ADI","ADI 4/26/2024 Call $200.00","BTO","60","$0.80","($4,801.80)"
"4/25/2024","4/25/2024","4/26/2024","ADI","ADI 4/26/2024 Call $200.00","STC","15","$0.80","$1,199.50"
"4/25/2024","4/25/2024","4/26/2024","ADI","ADI 4/26/2024 Call $200.00","STC","1","$0.80","$79.95"
"4/25/2024","4/25/2024","4/26/2024","ADI","ADI 4/26/2024 Call $200.00","STC","5","$0.80","$399.83"
"4/25/2024","4/25/2024","4/26/2024","ADI","ADI 4/26/2024 Call $200.00","STC","39","$0.80","$3,118.69"
"4/25/2024","4/25/2024","4/26/2024","ADI","ADI 4/26/2024 Call $200.00","BTO","1","$0.70","($70.03)"
"4/25/2024","4/25/2024","4/26/2024","ADI","ADI 4/26/2024 Call $200.00","BTO","59","$0.70","($4,131.77)"
"4/25/2024","4/25/2024","4/25/2024","","Gold Subscription Fee","GOLD","","","($5.00)"
"4/24/2024","4/24/2024","4/25/2024","ADBE","ADBE 4/26/2024 Call $480.00","STC","15","$3.25","$4,874.47"
"4/24/2024","4/24/2024","4/25/2024","ADBE","ADBE 4/26/2024 Call $480.00","BTO","15","$3.20","($4,800.45)"
"4/24/2024","4/24/2024","4/25/2024","ADBE","ADBE 4/26/2024 Call $480.00","STC","10","$2.75","$2,749.64"
"4/24/2024","4/24/2024","4/25/2024","MSTR","MSTR 4/26/2024 Put $1,160.00","STC","1","$6.50","$649.95"
"4/24/2024","4/24/2024","4/25/2024","ADBE","ADBE 4/26/2024 Call $480.00","BTO","1","$3.20","($320.03)"
"4/24/2024","4/24/2024","4/25/2024","ADBE","ADBE 4/26/2024 Call $480.00","BTO","7","$3.20","($2,240.21)"
"4/24/2024","4/24/2024","4/25/2024","ADBE","ADBE 4/26/2024 Call $480.00","BTO","2","$3.20","($640.06)"
"4/24/2024","4/24/2024","4/25/2024","MSTR","MSTR 4/26/2024 Put $1,160.00","BTO","1","$9.00","($900.03)"
"4/24/2024","4/24/2024","4/25/2024","ADBE","ADBE 4/26/2024 Call $480.00","STC","10","$2.55","$2,549.64"
"4/24/2024","4/24/2024","4/25/2024","ADBE","ADBE 4/26/2024 Call $480.00","BTO","10","$3.15","($3,150.30)"
"4/23/2024","4/23/2024","4/24/2024","UPS","UPS 4/26/2024 Call $150.00","STC","1","$0.85","$84.95"
"4/23/2024","4/23/2024","4/24/2024","UPS","UPS 4/26/2024 Call $150.00","STC","59","$0.85","$5,013.02"
"4/23/2024","4/23/2024","4/24/2024","UPS","UPS 4/26/2024 Call $150.00","BTO","60","$0.73","($4,381.80)"
"4/23/2024","4/23/2024","4/24/2024","UPS","UPS 4/26/2024 Call $150.00","STC","60","$0.68","$4,077.99"
"4/23/2024","4/23/2024","4/24/2024","UPS","UPS 4/26/2024 Call $150.00","BTO","9","$0.67","($603.27)"
"4/23/2024","4/23/2024","4/24/2024","UPS","UPS 4/26/2024 Call $150.00","BTO","32","$0.67","($2,144.96)"
"4/23/2024","4/23/2024","4/24/2024","UPS","UPS 4/26/2024 Call $150.00","BTO","1","$0.67","($67.03)"
"4/23/2024","4/23/2024","4/24/2024","UPS","UPS 4/26/2024 Call $150.00","BTO","1","$0.67","($67.03)"
"4/23/2024","4/23/2024","4/24/2024","UPS","UPS 4/26/2024 Call $150.00","BTO","1","$0.67","($67.03)"
"4/23/2024","4/23/2024","4/24/2024","UPS","UPS 4/26/2024 Call $150.00","BTO","14","$0.67","($938.42)"
"4/23/2024","4/23/2024","4/24/2024","UPS","UPS 4/26/2024 Call $150.00","BTO","1","$0.67","($67.03)"
"4/23/2024","4/23/2024","4/24/2024","UPS","UPS 4/26/2024 Call $150.00","BTO","1","$0.65","($65.03)"
"4/23/2024","4/23/2024","4/24/2024","UPS","UPS 4/26/2024 Call $150.00","STC","50","$0.60","$2,998.33"
"4/23/2024","4/23/2024","4/24/2024","UPS","UPS 4/26/2024 Call $150.00","BTO","45","$0.67","($3,016.35)"
"4/23/2024","4/23/2024","4/24/2024","UPS","UPS 4/26/2024 Call $150.00","BTO","2","$0.64","($128.06)"
"4/23/2024","4/23/2024","4/24/2024","UPS","UPS 4/26/2024 Call $150.00","BTO","3","$0.64","($192.09)"
"4/23/2024","4/23/2024","4/24/2024","UPS","UPS 4/26/2024 Call $150.00","STC","50","$0.73","$3,648.33"
"4/23/2024","4/23/2024","4/24/2024","UPS","UPS 4/26/2024 Call $150.00","BTO","19","$0.66","($1,254.57)"
"4/23/2024","4/23/2024","4/24/2024","UPS","UPS 4/26/2024 Call $150.00","BTO","6","$0.66","($396.18)"
"4/23/2024","4/23/2024","4/24/2024","UPS","UPS 4/26/2024 Call $150.00","BTO","23","$0.66","($1,518.69)"
"4/23/2024","4/23/2024","4/24/2024","UPS","UPS 4/26/2024 Call $150.00","BTO","1","$0.65","($65.03)"
"4/23/2024","4/23/2024","4/24/2024","UPS","UPS 4/26/2024 Call $150.00","BTO","1","$0.65","($65.03)"
"4/23/2024","4/23/2024","4/24/2024","UPS","UPS 4/26/2024 Call $150.00","STC","7","$0.63","$440.76"
"4/23/2024","4/23/2024","4/24/2024","UPS","UPS 4/26/2024 Call $150.00","STC","20","$0.63","$1,259.32"
"4/23/2024","4/23/2024","4/24/2024","UPS","UPS 4/26/2024 Call $150.00","STC","23","$0.63","$1,448.23"
"4/23/2024","4/23/2024","4/24/2024","UPS","UPS 4/26/2024 Call $150.00","BTO","20","$0.68","($1,360.60)"
"4/23/2024","4/23/2024","4/24/2024","UPS","UPS 4/26/2024 Call $150.00","BTO","10","$0.68","($680.30)"
"4/23/2024","4/23/2024","4/24/2024","UPS","UPS 4/26/2024 Call $150.00","BTO","20","$0.68","($1,360.60)"
"4/23/2024","4/23/2024","4/24/2024","ADBE","ADBE 5/10/2024 Call $505.00","STC","20","$1.55","$3,099.31"
"4/23/2024","4/23/2024","4/24/2024","ADBE","ADBE 5/10/2024 Call $505.00","BTO","20","$1.80","($3,600.60)"
"4/23/2024","4/23/2024","4/24/2024","","ACH Withdrawal","ACH","","","($1,000.00)"
"4/23/2024","4/23/2024","4/24/2024","FDX","FDX 4/26/2024 Call $275.00","STC","10","$2.00","$1,999.65"
"4/22/2024","4/22/2024","4/23/2024","","ACH Withdrawal","ACH","","","($2,000.00)"
"4/22/2024","4/22/2024","4/23/2024","FDX","FDX 4/26/2024 Call $275.00","BTO","10","$1.61","($1,610.30)"
"4/22/2024","4/22/2024","4/23/2024","FDX","FDX 4/26/2024 Call $270.00","STC","14","$4.05","$5,669.49"
"4/22/2024","4/22/2024","4/23/2024","FDX","FDX 4/26/2024 Call $270.00","STC","1","$4.05","$404.95"
"4/22/2024","4/22/2024","4/23/2024","FDX","FDX 4/26/2024 Call $270.00","STC","1","$4.05","$404.95"
